"연도","시도","시군구","농업용","생활용","산업용","유역","지점"
2022,"경상북도","경산시",6217758,3151768,5229371,"낙동강","대구"
2022,"경상북도","군위군",5120555,3866644,972410,"낙동강","대구"
2022,"경상북도","포항시",3884371,4179588,3505088,"낙동강","포항"
2022,"전라남도","나주시",12888572,10054546,1349088,"영섬","광주"
2022,"전라남도","진도군",3891509,1816180,136875,"영섬","진도군"
2022,"전라북도","남원시",22706404,6873826,909948,"영섬","남원"
2022,"전라북도","순창군",10956100,5296180,306850,"영섬","순창군"
2022,"전라북도","전주시",6271102,7945514,1228413,"금강","전주"
2022,"충청남도","금산군",11087675,5215756,1986262,"금강","금산"
2022,"충청남도","서산시",23324400,4915769,1136620,"금강","서산"
2022,"충청남도","아산시",12536016,19377047,2966030,"금강","천안"
2022,"충청남도","예산군",14062078,16094214,711693,"금강","홍성"
2022,"충청북도","보은군",10588828,5481472,215712,"금강","보은"
2022,"충청북도","옥천군",13107134,6711557,1265334,"금강","보은"
2019,"강원도","평창군",4113785,6640221,190433,"한강","대관령"
2019,"경기도","시흥시",1603802,717751,88703,"한강","인천"
2019,"경상남도","의령군",14773006,5860192,1272154,"낙동강","의령군"
2019,"경상북도","경주시",3001393,8653424,1725160,"낙동강","경주시"
2019,"경상북도","상주시",22291533,4273773,390160,"낙동강","상주"
2019,"경상북도","영천시",13527540,9240254,7553734,"낙동강","영천"
2019,"경상북도","포항시",3538619,4207615,3520671,"낙동강","포항"
2019,"전라남도","광양시",8499203,4352088,356348,"영섬","순천"
2019,"전라남도","무안군",17763673,2470769,73395,"영섬","목포"
2019,"전라남도","순천시",23575450,10845370,820463,"영섬","순천"
2019,"전라남도","함평군",11849570,6361680,499451,"영섬","광주"
2019,"전라북도","남원시",18028820,6172204,920898,"영섬","남원"
2019,"전라북도","진안군",9229353,5452060,221119,"금강","장수"
2019,"충청남도","금산군",10605957,5179624,1909612,"금강","금산"
2020,"강원도","인제군",852980,1481006,95629,"한강","인제"
2020,"강원도","평창군",4449744,6715634,190433,"한강","대관령"
2020,"경기도","동두천시",707444,927529,295292,"한강","동두천"
2020,"경기도","양평군",26224623,19417383,251699,"한강","양평"
2020,"경상북도","경산시",6248155,3947356,5760679,"낙동강","대구"
2020,"경상북도","상주시",21949238,4341664,362510,"낙동강","상주"
2020,"경상북도","성주군",18092002,7973697,2517827,"낙동강","대구"
2020,"전라남도","여수시",3824668,5935212,616446,"영섬","여수"
2020,"전라북도","고창군",30644466,4656516,423626,"금강","고창군"
2020,"충청남도","금산군",10906830,5225875,2015462,"금강","금산"
2020,"충청남도","부여군",9532114,6377231,288652,"금강","부여"
2020,"충청남도","서산시",22965776,5377079,1137878,"금강","서산"
2020,"충청북도","괴산군",6342706,2810053,168120,"한강","충주"
2020,"충청북도","단양군",1178185,1774188,1396963,"한강","제천"
2021,"강원도","평창군",4796765,7018988,190433,"한강","대관령"
2021,"경기도","가평군",3783680,6584606,142598,"한강","춘천"
2021,"경기도","광명시",2027520,1051482,686296,"한강","서울"
2021,"경기도","군포시",643413,725444,3914,"한강","수원"
2021,"경기도","시흥시",1836114,751051,88703,"한강","인천"
2021,"경기도","양주시",9450854,9798451,2895477,"한강","동두천"
2021,"경기도","여주시",15366840,15247110,3015175,"한강","이천"
2021,"경상남도","양산시",3108816,7157198,1552091,"낙동강","양산시"
2021,"경상북도","영덕군",2572206,4445476,849774,"낙동강","영덕"
2021,"전라남도","고흥군",9488149,5358683,1095615,"영섬","고흥"
2021,"전라남도","구례군",3097587,2655506,41850,"영섬","남원"
2021,"전라남도","화순군",2202593,3823165,570798,"영섬","광주"
2021,"충청남도","당진시",12697065,15886774,2316101,"금강","서산"
2021,"충청남도","예산군",14062078,16140905,711693,"금강","홍성"
2021,"충청북도","영동군",16697389,7806965,1251757,"금강","추풍령"
2021,"충청북도","청주시",26277153,22472785,2550729,"금강","청주"
2022,"경기도","고양시",13442883,9701899,241163,"한강","서울"
2022,"경기도","양주시",9428548,9188798,2891415,"한강","동두천"
2022,"경기도","연천군",3872530,1257174,431501,"한강","동두천"
2022,"경기도","용인시",6581472,20832916,737965,"한강","서울"
2022,"경기도","의왕시",1359777,1464770,93736,"한강","서울"
2022,"경상남도","고성군",3728726,1557776,311634,"한강","통영"
2022,"경상남도","남해군",4221356,5411775,39150,"낙동강","남해"
2022,"경상남도","산청군",16174074,5701038,588948,"낙동강","산청"
2022,"경상남도","진주시",29066643,7578498,1490005,"낙동강","진주"
2022,"경상북도","성주군",18167587,7309651,2550312,"낙동강","대구"
2022,"경상북도","칠곡군",3414952,5294046,2755830,"낙동강","대구"
2022,"전라남도","고흥군",9488149,5199428,1095520,"영섬","고흥"
2022,"전라북도","익산시",9342180,6994317,770143,"금강","군산"
2019,"강원도","삼척시",4570955,16488672,1154507,"한강","동해"
2019,"경기도","성남시",1449209,3902172,8608,"한강","서울"
2019,"경기도","안양시",127699,1835528,338676,"한강","서울"
2019,"경기도","의왕시",1194413,1498983,94839,"한강","서울"
2019,"경기도","평택시",5461429,8637488,6195044,"한강","수원"
2019,"경상남도","양산시",2990375,7012255,1631786,"낙동강","양산시"
2019,"경상남도","합천군",17790017,4322629,617367,"낙동강","합천"
2019,"경상북도","경산시",6202037,4456025,6324022,"낙동강","대구"
2019,"경상북도","청송군",3148084,1949035,83340,"낙동강","청송군"
2019,"경상북도","칠곡군",3056034,5542507,2748522,"낙동강","대구"
2019,"전라남도","구례군",2948865,2628236,41850,"영섬","남원"
2019,"전라남도","나주시",11206424,9942827,1287103,"영섬","광주"
2019,"전라남도","해남군",24002365,6705313,552526,"영섬","해남"
2019,"전라남도","화순군",2190129,4566917,570798,"영섬","광주"
2019,"전라북도","순창군",9547145,5572609,306850,"영섬","순창군"
