"ID","가뭄","누적강수량","계절","가조시간","평균기온","행정구역","저수량"
554,"습윤",275.8,"봄",12.6,11.2,"강원도",1528.72
555,"습윤",276.5,"봄",12.6,9.3,"강원도",1529.16
556,"정상",255.8,"봄",12.7,9.5,"강원도",1530.04
557,"정상",242,"봄",12.8,9.8,"강원도",1530.04
558,"정상",242,"봄",12.8,7,"강원도",1529.6
559,"정상",240.8,"봄",12.9,10.8,"강원도",1528.72
560,"정상",230.9,"봄",12.9,8.7,"강원도",1528.29
561,"정상",230.9,"봄",13,10.1,"강원도",1526.54
562,"정상",230.9,"봄",13,10.4,"강원도",1525.66
563,"정상",231.2,"봄",13.1,7.2,"강원도",1525.66
564,"정상",231.2,"봄",13.2,12,"강원도",1526.97
565,"정상",231.2,"봄",13.2,13.3,"강원도",1527.85
566,"정상",231.2,"봄",13.2,15.2,"강원도",1528.29
567,"정상",240.5,"봄",13.3,13.9,"강원도",1530.04
568,"정상",244.3,"봄",13.4,11.3,"강원도",1530.91
569,"정상",244.5,"봄",13.4,10.2,"강원도",1532.67
570,"정상",244.5,"봄",13.5,6.7,"강원도",1535.74
571,"정상",244.5,"봄",13.5,8.4,"강원도",1536.62
572,"정상",244.5,"봄",13.5,9.4,"강원도",1537.5
573,"정상",244.5,"봄",13.6,11.7,"강원도",1537.5
574,"정상",244.6,"봄",13.6,11.1,"강원도",1537.06
575,"정상",244.6,"봄",13.7,13,"강원도",1536.62
576,"정상",239.9,"봄",13.8,16.2,"강원도",1535.3
577,"정상",239.9,"봄",13.8,21.2,"강원도",1534.42
578,"정상",239.9,"봄",13.8,20.5,"강원도",1533.98
579,"정상",239.9,"봄",13.9,21.6,"강원도",1533.1
580,"정상",239.9,"봄",13.9,17.1,"강원도",1531.79
581,"정상",239.9,"봄",14,18.8,"강원도",1529.6
582,"정상",245.8,"봄",14,19.3,"강원도",1528.72
583,"정상",282.2,"봄",14,14.7,"강원도",1531.35
584,"정상",280.3,"봄",14.1,17.7,"강원도",1543.22
585,"정상",281.8,"봄",14.1,14.1,"강원도",1546.75
586,"정상",281.8,"봄",14.2,15.7,"강원도",1548.96
587,"정상",286.6,"봄",14.2,15.1,"강원도",1551.61
588,"정상",281.3,"봄",14.3,18.4,"강원도",1552.94
589,"정상",281.3,"봄",14.3,21.3,"강원도",1553.82
590,"정상",277.5,"봄",14.3,12.4,"강원도",1581.48
591,"정상",277.5,"봄",14.4,12.1,"강원도",1607.24
592,"정상",277.5,"봄",14.4,15.8,"강원도",1621.83
593,"정상",278.2,"봄",14.4,19.8,"강원도",1636.06
594,"정상",293.1,"봄",14.5,19.4,"강원도",1641.6
595,"정상",292.5,"봄",14.5,18.2,"강원도",1645.76
596,"정상",295.1,"봄",14.5,18.2,"강원도",1651.78
597,"정상",295.1,"봄",14.6,18.3,"강원도",1653.64
598,"정상",295.1,"봄",14.6,20.2,"강원도",1655.03
599,"정상",295.1,"여름",14.6,21.9,"강원도",1656.43
600,"정상",295.1,"여름",14.6,21.8,"강원도",1655.5
601,"정상",293.3,"여름",14.6,17.7,"강원도",1654.1
602,"정상",293.3,"여름",14.7,24.1,"강원도",1651.32
603,"정상",293.3,"여름",14.7,23.9,"강원도",1650.39
604,"정상",293.3,"여름",14.7,24.2,"강원도",1648.54
605,"정상",292.4,"여름",14.7,25.6,"강원도",1644.37
606,"정상",292.4,"여름",14.7,26.9,"강원도",1642.06
607,"정상",293.6,"여름",14.8,26.4,"강원도",1639.75
608,"정상",291,"여름",14.8,24.6,"강원도",1635.14
609,"정상",291,"여름",14.8,26.6,"강원도",1632.38
610,"정상",293,"여름",14.8,25.4,"강원도",1630.08
611,"정상",291.8,"여름",14.8,24.5,"강원도",1627.33
612,"정상",291.8,"여름",14.8,25.1,"강원도",1621.83
613,"정상",287.2,"여름",14.8,23.3,"강원도",1619.54
614,"정상",287.5,"여름",14.8,23.6,"강원도",1616.8
615,"정상",287.5,"여름",14.8,26.5,"강원도",1610.87
616,"정상",287.5,"여름",14.8,27.6,"강원도",1607.69
617,"정상",287.5,"여름",14.8,27.1,"강원도",1604.96
618,"정상",331.4,"여름",14.8,21.8,"강원도",1604.51
619,"정상",338,"여름",14.8,22.6,"강원도",1603.15
620,"정상",338,"여름",14.8,24,"강원도",1602.24
621,"정상",338,"여름",14.8,24.2,"강원도",1600.88
622,"정상",356.5,"여름",14.8,21,"강원도",1621.37
623,"정상",357.6,"여름",14.8,20.7,"강원도",1644.37
624,"정상",357.6,"여름",14.7,23.9,"강원도",1652.25
625,"정상",357.6,"여름",14.7,24.6,"강원도",1634.72
626,"정상",357.6,"여름",14.7,24,"강원도",1656.89
627,"정상",357.6,"여름",14.7,25.5,"강원도",1655.96
628,"정상",356,"여름",14.7,24.9,"강원도",1655.03
629,"약한가뭄",297.8,"여름",14.7,25.5,"강원도",1654.1
630,"약한가뭄",279.6,"여름",14.6,23.4,"강원도",1651.78
631,"약한가뭄",279.7,"여름",14.6,22,"강원도",1652.25
632,"약한가뭄",297.2,"여름",14.6,20,"강원도",1655.96
633,"약한가뭄",328,"여름",14.5,22,"강원도",1688.26
634,"약한가뭄",328,"여름",14.5,23.9,"강원도",1692.51
635,"약한가뭄",328,"여름",14.5,26.1,"강원도",1695.82
636,"약한가뭄",339.2,"여름",14.5,22,"강원도",1696.29
637,"약한가뭄",339,"여름",14.4,25.6,"강원도",1696.76
638,"약한가뭄",339,"여름",14.4,24.5,"강원도",1696.29
639,"약한가뭄",414.2,"여름",14.3,22.2,"강원도",1753.31
640,"약한가뭄",415.3,"여름",14.3,24,"강원도",1855.59
641,"약한가뭄",424,"여름",14.3,22.7,"강원도",1920.28
642,"약한가뭄",424.7,"여름",14.2,23.8,"강원도",1930.16
643,"약한가뭄",439.7,"여름",14.2,25.6,"강원도",1947.92
644,"약한가뭄",450.8,"여름",14.1,25.9,"강원도",1954.74
645,"정상",699.4,"여름",14,23.8,"강원도",2061.14
