"ID","가뭄","누적강수량","계절","가조시간","평균기온","행정구역","저수량"
1,"보통습윤",579.3,"겨울",10.7,0.6,"대구광역시",25.24
2,"심한습윤",952.3,"겨울",10.8,-2.4,"전라북도",634.59
3,"정상",312.4,"봄",12,6.6,"경상남도",51.37
4,"심한습윤",398.1,"봄",12,5.7,"경상남도",536.29
5,"정상",276.3,"봄",11.9,3.4,"강원도",1824.27
6,"심한습윤",397.6,"봄",12,6.9,"경상남도",535.9
7,"보통습윤",575,"봄",12,9.4,"경상남도",4.985
8,"보통습윤",398.9,"봄",12,7.2,"전라남도",90.89
9,"약한가뭄",181.7,"봄",13.3,15.4,"충청남도",58.94
10,"정상",168.1,"봄",13.3,19,"경상남도",536.49
11,"정상",594.2,"겨울",9.9,0,"전라북도",34.14
12,"정상",585.6,"겨울",9.9,2.1,"경상북도",39.36
13,"정상",566.7,"겨울",9.8,-1.7,"강원도",71.04
14,"정상",724.5,"겨울",9.8,1.8,"충청북도",2070
15,"정상",591.4,"겨울",10.8,0.3,"전라북도",32.48
16,"심한습윤",744.9,"겨울",10.9,2.1,"경상남도",544.86
17,"정상",312.4,"봄",12,8.4,"경상남도",51.25
18,"정상",270.1,"봄",12,8.3,"경상북도",29.98
19,"보통습윤",398.9,"봄",12.1,9.9,"전라남도",90.75
20,"심한습윤",397.2,"봄",12.1,11.4,"경상남도",535.11
21,"보통습윤",288.5,"봄",12.1,12.6,"경상북도",31.62
22,"보통습윤",418.6,"봄",12.1,11.6,"전라남도",90.89
23,"보통습윤",408,"봄",12.1,11.2,"경상남도",167.43
24,"정상",802.1,"겨울",9.9,-2.6,"경상북도",0.29
25,"정상",587.4,"겨울",9.9,-0.1,"경상북도",39.15
26,"정상",683.9,"겨울",10,1.4,"경상남도",56.04
27,"심한습윤",715.7,"겨울",10.8,1.1,"경상북도",0.06
28,"보통습윤",504.2,"겨울",10.9,1.1,"경상북도",32.415
29,"정상",316,"봄",12.2,15.9,"경상남도",51.16
30,"정상",277.2,"봄",12.2,11.3,"경상북도",31.52
31,"정상",257.5,"봄",12.2,7.2,"대구광역시",23.71
32,"정상",258.5,"봄",12.2,3,"전라북도",318.31
