"가뭄","누적강수량","가조시간","평균기온","저수량","댐","총저수량"
"정상",294.7,13,12.4,148.13,"남강",309.2
"정상",262.6,13,12.4,226.89,"섬진강",466
"정상",256.3,13,13.5,21.82,"김천부항",54.3
"정상",259,13,14,46.39,"장흥",191
"정상",428.1,13,13.3,8.19,"구천",10.02
"정상",428.1,13,13.3,4.01,"연초",5.22
"정상",220.8,13.1,12.4,1221.78,"충주",2750
"정상",233.7,13,13,261.05,"합천",790
"정상",255.6,13,14.8,3.72,"평림",10.26
"정상",279.8,13,13.5,18.74,"부안",50.3
"정상",278.1,13,12.7,6.97,"대곡",36.16
"정상",278.1,13,12.7,5.19,"대암",13.14
"정상",278.1,13,12.7,5.34,"사연",30.34
"정상",278.1,13,12.7,1.46,"선암",2.02
"정상",247.9,13,13.5,39.95,"보령",116.9
"정상",223.7,13,13.7,25.04,"밀양",73.6
"정상",209.6,13,11.9,4.85,"보현산",22.11
"정상",209.6,13,11.9,52.77,"영천",103.21
"정상",242.4,13.1,11.2,0.35,"영주",181.1
"정상",309.7,13,10.9,370.61,"용담",815
"정상",203.2,13.1,9.2,1418.59,"소양강",2900
"정상",237.5,13.1,8.8,1224.79,"충주",2750
"정상",327.2,13.1,8.6,371.91,"용담",815
"정상",234.6,13.1,10.6,4.87,"보현산",22.11
"정상",234.6,13.1,10.6,52.9,"영천",103.21
"정상",247.7,13,11,25.17,"밀양",73.6
"정상",269.9,13.1,8.2,0.37,"영주",181.1
"정상",309.8,13.1,8.6,18.95,"부안",50.3
"정상",302.1,13.1,11.2,6.97,"대곡",36.16
"정상",302.1,13.1,11.2,5.12,"대암",13.14
"정상",302.1,13.1,11.2,5.4,"사연",30.34
"정상",302.1,13.1,11.2,1.47,"선암",2.02
"정상",188.4,13.1,8.6,54.28,"횡성",86.9
"정상",329.5,13,10.2,148.39,"남강",309.2
"정상",222.2,13.1,10.5,16.88,"군위",48.7
"정상",289.2,13,11.3,46.84,"장흥",191
"정상",258.2,13,9.7,262.57,"합천",790
"정상",269.1,13.1,8.7,40.26,"보령",116.9
"정상",487.1,13,12.3,8.24,"구천",10.02
"정상",487.1,13,12.3,4.07,"연초",5.22
"정상",277.7,13,10.9,3.77,"평림",10.26
"정상",249.2,13.1,8.8,1061.71,"대청",1490
"보통습윤",267.1,13.1,10.1,21.86,"김천부항",54.3
"정상",279.1,13.1,9,227.83,"섬진강",466
"정상",230.1,13.1,9.1,505.09,"안동",1248
"정상",230.1,13.1,9.1,287.03,"임하",595
"정상",277.7,13.1,10.1,3.79,"평림",10.26
"정상",188.4,13.2,9.6,54.46,"횡성",86.9
"정상",329.5,13.1,13.1,154.71,"남강",309.2
"정상",327.2,13.1,7.5,372.99,"용담",815
"정상",309.8,13.1,8.5,19.13,"부안",50.3
"정상",269.1,13.1,7.5,40.54,"보령",116.9
"보통습윤",267.1,13.1,12.4,21.88,"김천부항",54.3
"정상",487.1,13.1,13.5,8.29,"구천",10.02
"정상",487.1,13.1,13.5,4.11,"연초",5.22
"정상",661.5,14.2,27.1,58.92,"장흥",191
"정상",596.3,14.3,30.1,11.48,"보현산",22.11
"정상",596.3,14.3,30.1,71.58,"영천",103.21
"정상",627.4,14.3,29.9,51.1,"밀양",73.6
"정상",715.5,14.3,29.5,376.76,"합천",790
"보통습윤",1511.6,14.2,28.4,9.24,"구천",10.02
"보통습윤",1511.6,14.2,28.4,4.37,"연초",5.22
"정상",875.3,14.3,27.9,121.89,"남강",309.2
"정상",779.5,14.4,27.4,0.33,"영주",181.1
"정상",625.6,14.3,30.7,31.48,"군위",48.7
"정상",612,14.4,27.4,1392.86,"충주",2750
"정상",719.9,14.3,26.3,489.43,"용담",815
"정상",669.8,14.4,29.2,912.52,"대청",1490
"정상",612,14.4,27.8,1392.2,"충주",2750
"정상",625.6,14.3,31,31.42,"군위",48.7
"정상",788.8,14.5,27.4,51.65,"횡성",86.9
"정상",731.3,14.3,27.5,31.09,"부안",50.3
"정상",693.2,14.3,26.9,74.35,"보령",116.9
"정상",719.9,14.3,26.9,489.17,"용담",815
"정상",779.5,14.4,27.7,0.32,"영주",181.1
"보통습윤",1511.6,14.2,29,9.21,"구천",10.02
"보통습윤",1511.6,14.2,29,4.35,"연초",5.22
"정상",733.6,14.5,28.1,1648.54,"소양강",2900
"정상",705.5,14.3,29,9.82,"대곡",36.16
"정상",705.5,14.3,29,5.02,"대암",13.14
"정상",705.5,14.3,29,9.3,"사연",30.34
"정상",705.5,14.3,29,1.39,"선암",2.02
"정상",658.6,14.2,29.5,6.18,"평림",10.26
"정상",627.4,14.3,30,50.89,"밀양",73.6
"정상",676.1,14.3,27.5,240.32,"섬진강",466
"정상",596.3,14.3,30.3,11.45,"보현산",22.11
"정상",596.3,14.3,30.3,71.14,"영천",103.21
"정상",715.5,14.3,29.5,376.28,"합천",790
"정상",875.3,14.2,28.1,119.98,"남강",309.2
"정상",661.5,14.2,27.9,58.64,"장흥",191
"심한습윤",807.3,14.3,29.8,29.39,"김천부항",54.3
"정상",561.2,14.4,29.9,696.07,"안동",1248
"정상",561.2,14.4,29.9,380.89,"임하",595
"정상",733.6,14.4,28.2,1648.07,"소양강",2900
"정상",561.2,14.3,30.2,696.45,"안동",1248
"정상",561.2,14.3,30.2,377.65,"임하",595
"정상",612,14.4,28.6,1389.55,"충주",2750
"정상",705.5,14.2,29.4,9.84,"대곡",36.16
"정상",705.5,14.2,29.4,4.81,"대암",13.14
"정상",705.5,14.2,29.4,9.12,"사연",30.34
"정상",705.5,14.2,29.4,1.4,"선암",2.02
"정상",875.3,14.2,28.6,117.85,"남강",309.2
"정상",731.3,14.3,28.1,31.02,"부안",50.3
"정상",676.1,14.2,28.5,237.1,"섬진강",466
"정상",693.2,14.3,27.2,74.13,"보령",116.9
"정상",719.9,14.3,27.3,489.17,"용담",815
"정상",661.5,14.2,27.8,58.41,"장흥",191
"정상",779.5,14.4,28,0.31,"영주",181.1
"정상",343.6,13.9,14.3,46.98,"보령",116.9
"보통습윤",328.4,13.9,11.2,591.02,"안동",1248
"보통습윤",328.4,13.9,11.2,343.27,"임하",595
"정상",324.4,13.9,16.1,1045.41,"대청",1490
"보통습윤",778.4,13.8,14.1,9.37,"구천",10.02
"보통습윤",778.4,13.8,14.1,4.47,"연초",5.22
"정상",334.7,13.9,14.1,29.82,"밀양",73.6
"정상",409.8,13.9,14.3,21.45,"부안",50.3
"정상",296.6,14.1,15.8,1564.49,"소양강",2900
"정상",324.4,14,16.5,1042.41,"대청",1490
"정상",301.7,14,14.5,54.87,"횡성",86.9
"정상",425.7,13.9,15.8,151.01,"남강",309.2
