"가뭄","누적강수량","가조시간","평균기온","저수량","댐"
"약한가뭄",424,14.3,22.7,1920.28,"소양강"
"약한가뭄",424.7,14.2,23.8,1930.16,"소양강"
"약한가뭄",439.7,14.2,23,1939.03,"소양강"
"약한가뭄",439.7,14.2,25.6,1947.92,"소양강"
"약한가뭄",450.8,14.1,25.9,1954.74,"소양강"
"약한가뭄",475.8,14.1,24.7,1962.11,"소양강"
"정상",520.7,14.1,24.7,1964.74,"소양강"
"정상",699.4,14,23.8,2061.14,"소양강"
"정상",826.7,14,24.8,2195.68,"소양강"
"정상",864.4,14,24.9,2416.72,"소양강"
"정상",960.1,13.9,24.5,2402.84,"소양강"
"정상",960.1,13.9,23.8,2300.65,"소양강"
"정상",974.8,13.9,24.6,2223.62,"소양강"
"정상",1040.2,13.8,23.7,2226.48,"소양강"
"정상",1047.8,13.8,26.5,2204.21,"소양강"
"보통습윤",1127.2,13.8,25.1,2236.24,"소양강"
"정상",185.1,12.8,10.7,1843.93,"소양강"
"정상",185.1,12.9,10.9,1844.44,"소양강"
"정상",196.6,12.9,8,1845.95,"소양강"
"정상",200.9,13,6.7,1846.97,"소양강"
"정상",195.1,13,8.2,1847.98,"소양강"
"정상",195.1,13,11.8,1849.5,"소양강"
"정상",195.1,13.1,11.1,1850.51,"소양강"
"정상",197,13.1,7.2,1852.54,"소양강"
"정상",197,13.2,9.8,1848.99,"소양강"
"정상",197,13.2,12.1,1844.94,"소양강"
"정상",197,13.2,14.3,1841.91,"소양강"
"정상",197,13.3,12.1,1837.87,"소양강"
"정상",197,13.3,12.1,1833.83,"소양강"
"정상",197.3,13.4,13.5,1835.34,"소양강"
"정상",197.6,13.4,17.6,1835.85,"소양강"
"정상",197.6,13.4,18.6,1836.86,"소양강"
"정상",197.6,13.5,20,1837.36,"소양강"
"정상",198.5,13.5,20.4,1839.89,"소양강"
"정상",214.6,13.5,11.7,1841.4,"소양강"
"정상",218.5,13.6,8.4,1843.42,"소양강"
"정상",212.3,13.6,10.9,1845.45,"소양강"
"정상",212.5,13.6,12.1,1846.97,"소양강"
"정상",198.7,13.7,11.5,1847.98,"소양강"
"정상",198.7,13.7,14.8,1848.48,"소양강"
"보통습윤",198.7,13.8,16.9,1841.4,"소양강"
"정상",198.7,13.8,16.6,1833.83,"소양강"
"정상",198.7,13.8,17.3,1826.28,"소양강"
"정상",198.7,13.9,18.3,1819.25,"소양강"
"정상",198.7,13.9,19.3,1810.74,"소양강"
"정상",198.7,13.9,14.8,1802.75,"소양강"
"정상",198.7,14,14.5,1793.79,"소양강"
"약한가뭄",192.2,14,16.2,1785.35,"소양강"
"약한가뭄",144.3,14,17.3,1776.93,"소양강"
"약한가뭄",142.8,14.1,18.1,1768.54,"소양강"
"보통가뭄",142.8,14.1,20.1,1760.18,"소양강"
"보통가뭄",142.8,14.1,20.3,1751.35,"소양강"
"보통가뭄",142.8,14.2,18.5,1742.54,"소양강"
"보통가뭄",142.8,14.2,19.5,1734.25,"소양강"
"보통가뭄",142.8,14.2,19.4,1727.92,"소양강"
"보통가뭄",142.8,14.2,21.8,1721.13,"소양강"
"보통가뭄",142.8,14.3,21.8,1715.31,"소양강"
"보통가뭄",142.8,14.3,21.7,1709.1,"소양강"
"약한가뭄",157.9,14.3,19.8,1702.92,"소양강"
"약한가뭄",158.3,14.3,17.8,1696.76,"소양강"
"약한가뭄",158.3,14.4,17.1,1691.09,"소양강"
"보통가뭄",158.3,14.4,18.6,1684.49,"소양강"
"보통가뭄",158.3,14.4,20,1678.38,"소양강"
"보통가뭄",158.3,14.4,22.9,1671.82,"소양강"
"보통가뭄",150.7,14.5,22.3,1665.74,"소양강"
"보통가뭄",150.7,14.5,23.1,1659.22,"소양강"
"약한가뭄",162.3,14.5,18,1652.71,"소양강"
"보통가뭄",162.3,14.5,17.9,1646.22,"소양강"
"보통가뭄",162.3,14.6,19.3,1639.75,"소양강"
"보통가뭄",162.3,14.6,19.5,1633.3,"소양강"
"보통가뭄",162.3,14.6,20.4,1626.41,"소양강"
"보통가뭄",162.3,14.6,19.1,1620,"소양강"
"보통가뭄",162.3,14.6,21.5,1613.15,"소양강"
"보통가뭄",162.3,14.7,22.4,1606.33,"소양강"
"보통가뭄",154.7,14.7,23.8,1599.97,"소양강"
"보통가뭄",148,14.7,24.4,1593.19,"소양강"
"보통가뭄",152.3,14.7,21.1,1586.43,"소양강"
"약한가뭄",176.8,14.7,19.2,1583.28,"소양강"
"약한가뭄",176.8,14.7,20.2,1581.03,"소양강"
"약한가뭄",179,14.7,20.5,1577,"소양강"
"약한가뭄",181.4,14.8,17.5,1571.63,"소양강"
"약한가뭄",181.4,14.8,18.5,1564.93,"소양강"
"보통가뭄",179.6,14.8,21.3,1560.48,"소양강"
"보통가뭄",179.6,14.8,23.2,1554.27,"소양강"
"보통가뭄",179,14.8,22.5,1548.51,"소양강"
"정상",295.1,14.5,18,1649,"소양강"
"정상",295.1,14.5,18.2,1651.78,"소양강"
"정상",295.1,14.6,18.3,1653.64,"소양강"
"정상",295.1,14.6,20.2,1655.03,"소양강"
"정상",295.1,14.6,21.7,1655.96,"소양강"
"정상",295.1,14.6,21.9,1656.43,"소양강"
"정상",295.1,14.6,21.8,1655.5,"소양강"
"정상",293.3,14.6,17.7,1654.1,"소양강"
"정상",293.3,14.7,22.6,1653.17,"소양강"
"정상",293.3,14.7,24.1,1651.32,"소양강"
"정상",293.3,14.7,23.9,1650.39,"소양강"
"정상",293.3,14.7,24.2,1648.54,"소양강"
"정상",293.3,14.7,24.8,1646.22,"소양강"
"정상",292.4,14.7,25.6,1644.37,"소양강"
"정상",292.4,14.7,26.9,1642.06,"소양강"
"정상",293.6,14.8,26.4,1639.75,"소양강"
"정상",291,14.8,27.1,1637.45,"소양강"
"정상",291,14.8,24.6,1635.14,"소양강"
"정상",291,14.8,26.6,1632.38,"소양강"
"정상",293,14.8,25.4,1630.08,"소양강"
"정상",291.8,14.8,24.5,1627.33,"소양강"
"정상",291.8,14.8,23.4,1624.58,"소양강"
"정상",291.8,14.8,25.1,1621.83,"소양강"
"정상",287.2,14.8,23.3,1619.54,"소양강"
"정상",287.5,14.8,23.6,1616.8,"소양강"
"정상",287.5,14.8,25.1,1613.61,"소양강"
"정상",287.5,14.8,26.5,1610.87,"소양강"
"정상",287.5,14.8,27.6,1607.69,"소양강"
"정상",287.5,14.8,27.1,1604.96,"소양강"
"정상",331.4,14.8,21.8,1604.51,"소양강"
"정상",337.9,14.8,21.5,1604.06,"소양강"
"정상",338,14.8,22.6,1603.15,"소양강"
"정상",338,14.8,24,1602.24,"소양강"
"정상",338,14.8,24.2,1600.88,"소양강"
"정상",339,14.8,23.6,1599.52,"소양강"
"정상",356.5,14.8,21,1621.37,"소양강"
"정상",357.6,14.8,20.7,1644.37,"소양강"
"정상",357.6,14.7,23.9,1652.25,"소양강"
"정상",357.6,14.7,25.8,1633.78,"소양강"
"정상",357.6,14.7,24.6,1634.72,"소양강"
