"지점","지점명","일시","평균기온","최저기온","최저기온시각","최고기온","최고기온시각","강수계속시간","최다강수량10분","최다강수량시각10분","최다강수량1시간","최다강수량시각1시간","일강수량","최대순간풍속","최대순간풍속풍향","최대순간풍속시각","최대풍속","최대풍속풍향","최대풍속시각","평균풍속","풍정합","최다풍향","평균이슬점온도","최소상대습도","최소상대습도시각","평균상대습도","평균증기압","평균현지기압","최고해면기압","최고해면기압시각","최저해면기압","최저해면기압시각","평균해면기압","가조시간","합계일조시간","최다일사시각1시간","최다일사량1시간","합계일사량","일최심신적설","일최심신적설시각","일최심적설","일최심적설시각","합계3시간신적설","평균전운량","평균중하층운량","평균지면온도","최저초상온도","평균5CM지중온도","평균10CM지중온도","평균20CM지중온도","평균30CM지중온도","지중온도50CM","지중온도100CM","지중온도150CM","지중온도300CM","지중온도500CM","합계대형증발량","합계소형증발량","강수9_9"
99,"파주",22/12/27,-7.1,-14.5,814,1.6,1435,,"","","","",,3.2,230,1625,1.9,230,1632,0.3,274,70,-10.7,48,1411,77,2.8,1026.6,1032.6,1015,1029.3,1523,1030.6,9.6,8.5,1200,1.82,10.05,,,,,,3.5,1.1,-2.6,-11.9,,,,,,,,,,0.8,1.2,
99,"파주",22/12/28,-6.5,-11.3,2309,-1.3,1322,,"","","","",0.2,6.8,320,1608,3.8,320,1344,0.8,655,290,-12.2,35,1124,67.6,2.5,1028.2,1035.1,2400,1028.9,139,1032.2,9.6,8.5,1100,2,10.66,,,,,,1.5,1.1,-2.3,-11.4,,,,,,,,,,1,1.4,
99,"파주",22/12/29,-7.1,-15.9,759,0,1500,,"","","","",0,4.4,250,1541,2.3,230,1550,0.3,302,230,-12.9,35,1307,65.9,2.3,1030.1,1035.7,1022,1032.1,1425,1034.1,9.6,8.2,1100,1.95,10.77,,,,,,2.1,1.1,-2.9,-13.4,,,,,,,,,,0.9,1.3,
99,"파주",22/12/30,-5.8,-11.7,748,0.8,1459,,"","","","",,5.6,320,1719,2.9,320,1635,0.6,496,290,-10.4,39,1550,71.9,2.8,1029.4,1034.8,921,1031.7,1526,1033.5,9.6,8.5,1100,1.96,10.59,,,,,,1.5,0.4,-2.4,-11.7,,,,,,,,,,0.9,1.3,
99,"파주",22/12/31,-4.8,-11.4,113,1.3,1508,,"","","","",0,3.2,70,1035,1.6,70,1038,0.2,144,200,-7.8,60,1236,80.1,3.5,1027.9,1033.6,1,1029.9,2025,1031.9,9.6,2,1100,0.79,5.06,,,,,,3.9,3.9,-2.1,-12.2,,,,,,,,,,0.4,0.6,
100,"대관령",22/12/01,-9.6,-13.9,726,-5.4,1313,,"","","","",,15.4,270,1252,9.3,270,1605,5.3,4607,270,-21,26,1001,39.6,1.2,933.6,1033.6,727,1027.1,1444,1030.9,9.8,9.1,1200,2.16,12.51,,,,,,1.3,1.3,-6.6,-14.2,,,,,,,,,,1.4,2.1,
100,"대관령",22/12/02,-7.4,-12.1,525,-2.5,1442,,"","","","",,11,270,1511,7.1,270,1403,3.4,2903,270,-19.8,8,1352,39.3,1.3,934.2,1033.7,808,1028.1,1441,1030.7,9.8,7.5,1200,2.17,12.51,,,,,,1.1,0.1,-6.2,-14.5,,,,,,,,,,1.8,2.6,
100,"대관령",22/12/03,-2.3,-7.7,1,1,1412,,"","","","",,17,270,2336,10.6,270,2336,7.1,6123,290,-7.1,54,1422,70.1,3.7,930.6,1029.6,1,1022.2,1356,1024.7,9.7,5.4,1300,1.65,8.85,,,,,,6.4,4.5,-2.4,-9,,,,,,,,,,1.4,1.9,
100,"대관령",22/12/04,-6.2,-9.9,2311,-2.5,1432,,"","","","",,15.6,270,11,10.2,270,18,3.8,3286,290,-19.2,15,1356,37.6,1.4,934.1,1033,2311,1024.8,100,1030.2,9.7,4,1000,1.44,7.11,,,,,,7.5,6.8,-4.6,-11.7,,,,,,,,,,1.3,1.9,
100,"대관령",22/12/05,-6.3,-10.4,621,0.9,1421,,"","","","",,11.3,270,2323,7.7,270,2327,3.1,2648,270,-22.2,11,1241,29.4,1.1,933,1033.2,217,1024.3,1415,1028.9,9.7,8.1,1300,1.92,10.55,,,,,,4.3,4.3,-4.9,-11.1,,,,,,,,,,1.9,2.7,
