"시도","시군구","피해유형","피해시작일","피해종료일"
"경상북도","영양군","운반급수",14/07/01,14/07/26
"경기도","가평군","운반급수",14/07/08,14/07/09
"경기도","가평군","운반급수",14/07/08,14/07/15
"경상북도","안동시","운반급수",14/07/09,14/07/09
"경기도","가평군","운반급수",14/07/11,14/07/15
"강원도","인제군","운반급수",14/07/11,14/08/18
"경기도","가평군","운반급수",14/07/12,14/07/18
"강원도","인제군","운반급수",14/07/12,14/08/18
"강원도","화천군","운반급수",14/07/12,14/08/18
"경상북도","영양군","운반급수",14/07/13,14/07/30
"강원도","춘천시","운반급수",14/07/14,14/08/18
"충청북도","단양군","운반급수",14/07/16,14/07/18
"충청북도","충주시","운반급수",14/07/16,14/07/23
"충청북도","충주시","운반급수",14/07/16,14/08/06
"강원도","화천군","운반급수",14/07/16,14/08/18
"강원도","화천군","운반급수",14/07/17,14/08/18
"강원도","원주시","운반급수",14/07/18,14/08/18
"강원도","화천군","운반급수",14/07/18,14/08/18
"강원도","평창군","운반급수",14/07/20,14/08/18
"강원도","화천군","운반급수",14/07/20,14/08/18
"충청남도","금산군","운반급수",14/07/21,14/07/21
"강원도","원주시","운반급수",14/07/21,14/08/18
"경상북도","의성군","운반급수",14/07/21,14/08/04
"강원도","평창군","운반급수",14/07/21,14/08/18
"강원도","평창군","운반급수",14/07/22,14/08/18
"강원도","홍천군","운반급수",14/07/22,14/07/22
"강원도","홍천군","운반급수",14/07/22,14/07/25
"경상북도","영양군","운반급수",14/07/27,14/07/31
"강원도","삼척시","운반급수",14/07/28,14/08/18
"경상북도","울진군","운반급수",14/07/28,14/08/04
"경상북도","울진군","제한급수",14/07/28,14/08/04
"강원도","평창군","운반급수",14/07/28,14/08/18
"경상북도","안동시","운반급수",14/07/29,14/09/30
"경상북도","울진군","제한급수",14/07/30,14/08/04
"충청남도","금산군","운반급수",14/07/31,14/08/01
"강원도","삼척시","운반급수",14/07/31,14/08/18
"경상북도","의성군","운반급수",14/07/31,14/08/01
"경상북도","안동시","운반급수",14/08/01,14/08/01
"충청북도","영동군","운반급수",14/08/01,14/08/06
"충청북도","제천시","운반급수",14/08/01,14/08/06
"경상북도","안동시","운반급수",14/08/21,14/08/21
"경상북도","안동시","운반급수",14/09/07,14/09/07
"경상북도","안동시","운반급수",14/09/09,14/09/09
"경상북도","예천군","운반급수",14/10/01,15/06/30
"인천광역시","옹진군","운반급수",14/11/18,14/11/18
"인천광역시","옹진군","운반급수",14/11/18,14/11/27
"강원도","춘천시","운반급수",14/12/01,15/06/26
"인천광역시","옹진군","운반급수",14/12/09,14/12/09
"강원도","화천군","운반급수",14/12/19,15/02/22
"강원도","화천군","운반급수",14/12/29,15/02/22
"경기도","가평군","운반급수",15/01/01,15/07/03
"경기도","가평군","운반급수",15/01/02,15/07/07
"경기도","가평군","운반급수",15/01/03,15/07/06
"경기도","가평군","운반급수",15/01/05,15/07/07
"강원도","평창군","운반급수",15/01/05,15/02/17
"강원도","평창군","운반급수",15/01/05,15/04/03
"경기도","가평군","운반급수",15/01/08,15/02/12
"경기도","광주시","운반급수",15/01/13,15/07/20
"인천광역시","옹진군","운반급수",15/01/14,15/01/14
"인천광역시","중구","운반급수",15/01/14,15/07/10
"경기도","가평군","운반급수",15/01/21,15/07/06
"경상북도","안동시","운반급수",15/01/23,15/01/23
"인천광역시","옹진군","운반급수",15/01/23,15/12/31
"인천광역시","강화군","제한급수",15/01/28,15/07/13
"인천광역시","옹진군","운반급수",15/02/02,15/11/06
"경상북도","안동시","운반급수",15/02/09,15/02/09
"경기도","가평군","운반급수",15/02/10,15/05/25
"인천광역시","옹진군","운반급수",15/02/10,15/07/27
"강원도","인제군","운반급수",15/02/10,15/02/22
"경기도","가평군","운반급수",15/02/12,15/03/17
"경기도","가평군","운반급수",15/02/16,15/06/04
"경상북도","안동시","운반급수",15/02/16,15/02/16
