"날짜","댐","저수량","강","유효저수량","강우량","총저수량","방류량","남은저수량","지점"
18/01/09,"광동",7.61,"한강",8,0,13.13,0.48,7.56,"동해"
18/01/09,"구천",7.42,"낙동강",9.3,0,10.02,0.28,7.39,"거제"
18/01/09,"군위",14.66,"낙동강",40.1,0.24,48.7,0.66,14.6,"대구"
18/01/09,"김천부항",21.11,"낙동강",42.6,1.7,54.3,0.5,21.06,"구미"
18/01/09,"남강",95.56,"낙동강",299.7,0.54,309.2,10.94,94.61,"진주"
18/01/09,"달방",5.15,"한강",7.5,0,8.75,0.34,5.12,"동해"
18/01/09,"대곡",4.07,"낙동강",27.8,0.92,36.16,0,4.07,"울산"
18/01/09,"대암",5.82,"낙동강",5,0,13.14,4.47,5.43,"울산"
18/01/09,"대청",919.75,"금강",790,1.98,1490,28.15,917.31,"청주"
18/01/09,"밀양",20.24,"낙동강",69.8,0,73.6,0.82,20.16,"밀양"
18/01/09,"보령",33.61,"금강",108.7,5.93,116.9,2.72,33.37,"보령"
18/01/09,"보현산",4.8,"낙동강",17.9,0.71,22.11,0.24,4.77,"영천"
18/01/09,"부안",14.65,"영섬",35.6,4.97,50.3,0.72,14.58,"부안"
18/01/09,"사연",5.3,"낙동강",20,0.05,30.34,0,5.3,"울산"
18/01/09,"선암",1.4,"낙동강",1.5,0,2.02,1.13,1.3,"울산"
18/01/09,"섬진강",141.67,"영섬",429,6.24,466,1.46,141.54,"임실"
18/01/09,"성덕",10.38,"낙동강",24.8,0.39,27.9,0.1,10.37,"청송군"
18/01/09,"소양강",1739.61,"한강",1900,0.21,2900,59.99,1734.42,"춘천"
18/01/09,"수어",17.77,"영섬",22.2,0,31.27,5.14,17.32,"순천"
18/01/09,"안계",12.43,"낙동강",13,0,18.46,1.97,12.25,"경주시"
18/01/09,"안동",530.63,"낙동강",1000,0.12,1248,22.02,528.72,"안동"
18/01/09,"연초",3.32,"낙동강",4.6,0,5.22,0.15,3.3,"거제"
18/01/09,"영주",9.8,"낙동강",138,0.54,181.1,0.68,9.74,"영주"
18/01/09,"영천",44.81,"낙동강",81.4,0,103.21,4.47,44.42,"영천"
18/01/09,"용담",355.87,"금강",672.5,3.01,815,12.99,354.74,"장수"
18/01/09,"운문",17.26,"낙동강",126.2,0.77,160.25,2.08,17.08,"경주시"
18/01/09,"임하",242.45,"낙동강",424,0.08,595,7.91,241.76,"안동"
18/01/09,"장흥",42.6,"영섬",171,2.44,191,1.78,42.44,"장흥"
18/01/09,"주암본",121.32,"영섬",352,0.84,457,6.97,120.71,"순천"
18/01/09,"주암조",127.21,"영섬",210,0,250,5.9,126.7,"순천"
18/01/09,"충주",1267.65,"한강",1789,0.18,2750,52.12,1263.14,"충주"
18/01/09,"평림",3.02,"영섬",8.1,1.55,10.26,0.33,2.99,"광주"
18/01/09,"합천",261.05,"낙동강",560,0.71,790,16.31,259.64,"합천"
18/01/09,"횡성",55.41,"한강",73.4,0,86.9,1.42,55.28,"홍천"
18/01/10,"감포",0.71,"낙동강",2.2,0,2.64,0.04,0.7,"경주시"
18/01/10,"광동",7.56,"한강",8,0,13.13,0.49,7.51,"동해"
18/01/10,"구천",7.41,"낙동강",9.3,0,10.02,0.28,7.38,"거제"
18/01/10,"군위",14.6,"낙동강",40.1,0,48.7,0.66,14.54,"대구"
18/01/10,"김천부항",21.08,"낙동강",42.6,0.42,54.3,0.5,21.03,"구미"
18/01/10,"남강",95.34,"낙동강",299.7,1.02,309.2,11.01,94.38,"진주"
18/01/10,"달방",5.12,"한강",7.5,0,8.75,0.34,5.09,"동해"
18/01/10,"대곡",4.08,"낙동강",27.8,0,36.16,0,4.08,"울산"
18/01/10,"대암",5.82,"낙동강",5,0,13.14,4.51,5.43,"울산"
18/01/10,"대청",918.64,"금강",790,1.97,1490,28.23,916.2,"청주"
18/01/10,"밀양",20.17,"낙동강",69.8,0,73.6,0.81,20.1,"밀양"
18/01/10,"보령",33.58,"금강",108.7,1.99,116.9,2.67,33.34,"보령"
18/01/10,"보현산",4.77,"낙동강",17.9,0,22.11,0.24,4.74,"영천"
18/01/10,"부안",14.62,"영섬",35.6,9.66,50.3,0.69,14.56,"부안"
18/01/10,"사연",5.29,"낙동강",20,0,30.34,0,5.29,"울산"
18/01/10,"선암",1.39,"낙동강",1.5,0,2.02,1.12,1.29,"울산"
