"행정구역","SPI6","가뭄","계절","누적강수량","가조시간","평균기온","합계일조시간","평균상대습도","평균지면온도","수위","저수량","방류량","강유역","댐"
"경상남도",0.059,"정상","봄",294.7,13,12.4,0.5,39,12.9,87,148.13,72.13,"낙동강","남강"
"전라남도",-0.413,"정상","봄",259,13,14,1.6,42.1,14.9,62,46.39,1.97,"영섬","장흥"
"경상남도",0.325,"정상","봄",428.1,13,13.3,1.6,50.3,13.8,64,8.19,0.28,"낙동강","구천"
"경상남도",0.325,"정상","봄",428.1,13,13.3,1.6,50.3,13.8,64,4.01,0.15,"낙동강","연초"
"경상남도",0.276,"정상","봄",233.7,13,13,2.9,40.6,15.3,63,261.05,2,"낙동강","합천"
"광주광역시",-0.5,"정상","봄",255.6,13,14.8,0.2,33,13.3,77,3.72,0.34,"영섬","평림"
"전라북도",0.131,"정상","봄",279.8,13,13.5,0.1,45.6,14.1,54,18.74,0.79,"영섬","부안"
"충청남도",0.148,"정상","봄",247.9,13,13.5,0.5,44.4,12,68,39.95,3.17,"금강","보령"
"경상남도",-0.006,"정상","봄",223.7,13,13.7,3.5,30.1,15.1,34,25.04,0.87,"낙동강","밀양"
"경상북도",0.245,"정상","봄",209.6,13,11.9,6.4,43,14.4,54,4.85,0.2,"낙동강","보현산"
"경상북도",0.245,"정상","봄",209.6,13,11.9,6.4,43,14.4,54,52.77,7.53,"낙동강","영천"
"경상북도",0.415,"정상","봄",242.4,13.1,11.2,4.9,40.3,15.5,46,0.35,2.29,"낙동강","영주"
"전라북도",-0.18,"정상","봄",309.7,13,10.9,1.1,44.3,10.8,62,370.61,12.76,"영섬","용담"
"전라북도",-0.074,"정상","봄",327.2,13.1,8.6,0,83.5,9.3,70,371.91,12.74,"영섬","용담"
"경상북도",0.585,"정상","봄",234.6,13.1,10.6,0,80.9,10.8,64,4.87,0.2,"낙동강","보현산"
"경상북도",0.585,"정상","봄",234.6,13.1,10.6,0,80.9,10.8,64,52.9,7.45,"낙동강","영천"
"경상남도",0.282,"정상","봄",247.7,13,11,0,83,11.9,34,25.17,0.76,"낙동강","밀양"
"경상북도",0.697,"정상","봄",269.9,13.1,8.2,0,79.9,10.3,51,0.37,2.2,"낙동강","영주"
"전라북도",0.473,"정상","봄",309.8,13.1,8.6,0,84.9,10.3,59,18.95,0.72,"영섬","부안"
"강원도",0.054,"정상","봄",188.4,13.1,8.6,0.1,86.5,9.9,44,54.28,1.8,"한강","횡성"
"경상남도",0.344,"정상","봄",329.5,13,10.2,0,78.3,11.1,92,148.39,74.38,"낙동강","남강"
