"가뭄","누적강수량","가조시간","평균기온","수위"
"정상",712.2,9.8,-6.6,39
"정상",653.2,10.4,-6.4,33
"정상",305.1,12.9,5.4,75
"보통습윤",692.9,14.6,28,68
"정상",691.9,14.4,32.8,44
"약한가뭄",245.6,13.9,12.2,57
"정상",261.9,14.7,15.9,49
"정상",296.9,14.8,22.8,71
"보통가뭄",306.3,14.7,24.5,35
"약한가뭄",367.8,14.6,18.9,37
"정상",518.2,14.3,28.3,56
"보통습윤",1366.9,11.6,16.1,92
"보통습윤",1391.3,10.7,15.2,44
"심한습윤",1491.6,9.8,8.4,64
"심한습윤",1414.3,9.7,6.5,506
"보통습윤",1017.9,11,6.6,506
"심한습윤",960.8,12,5.6,506
"정상",406.2,13.6,17,506
"정상",426.3,14.5,19.8,506
"정상",402.2,14.8,27.4,506
"심한습윤",879.9,14.3,20.5,506
"보통습윤",1030.5,13.6,30.5,506
"보통습윤",1034.2,13.5,26.8,506
"보통습윤",1048.3,13.3,24.6,506
"심한습윤",1547.1,11.2,13.3,506
"보통습윤",1419.2,9.9,6.5,506
"보통습윤",1418.8,9.7,3.6,506
"정상",1142.1,9.7,-10.1,506
"정상",1019.1,9.9,1.6,506
"정상",713.1,10.8,5.3,506
"보통가뭄",178.6,12.3,15,506
"약한가뭄",228.7,13.2,15,506
"약한가뭄",228.7,13.6,13.4,506
"정상",434,14.8,20.2,506
"정상",532.3,14.7,25,506
"정상",552.9,14.6,29.1,506
"정상",968.7,11.6,18,506
"정상",978.7,11.3,20.1,506
"정상",1039.3,10.9,13.1,506
"정상",1012.8,10.6,15.2,506
"정상",885.9,9.9,9.7,506
"정상",786.4,9.7,4.2,506
"정상",763.5,9.8,-2.7,506
"정상",763.5,9.8,-3,506
"약한가뭄",235,12,6.8,506
"정상",288.2,12.4,10.5,506
"정상",1118.1,12.1,19.3,67
"정상",1128.7,11.9,19.6,58
"정상",1228.9,10.3,8.9,68
"정상",1236.9,10.2,10.5,64
"정상",1184.9,10.1,10,62
"정상",1135.5,9.6,5,49
"정상",908.5,10.1,2.7,45
"정상",729.9,10.6,-0.6,43
"약한가뭄",203.6,12.9,9.7,51
"약한가뭄",234.3,14.1,16.9,505
"약한가뭄",234.6,14.2,15.8,505
"정상",304.9,14.7,15.6,506
"정상",301.2,14.7,21.1,506
"정상",315.1,14.8,21.9,506
"정상",315.1,14.8,26.9,506
"정상",372.2,14.7,28.1,506
"정상",440.1,14.6,23.2,506
"정상",1222.9,10.7,14.1,506
"정상",1196.8,9.6,3.6,505
"정상",468.6,14.4,13.8,100
"정상",468.3,14.6,19.5,96
"정상",444.1,10.2,-9.7,38
"약한가뭄",157.7,11.2,0.1,18
"약한가뭄",679.2,10.6,9.5,192
"약한가뭄",643,10.5,10.9,192
"약한가뭄",571.8,9.9,5.3,192
"보통가뭄",507.6,9.6,1.8,192
"정상",368.3,10.3,-1.4,191
"정상",298.3,10.8,1.4,191
"정상",271.7,11.1,-5.4,191
"정상",184,11.7,4.6,191
"정상",209.4,12.7,9,191
"정상",310.6,14.8,24.5,192
"정상",615.5,14.2,26.5,192
"정상",1239.1,11.8,16.3,192
"보통습윤",1345.9,10.1,6.9,192
"심한습윤",1371.4,9.7,-5.3,192
"정상",1117.6,9.6,-3.5,192
"정상",140.7,12.5,13.3,27
"정상",140.7,12.6,14.1,13
