"일시","지점명","수위"
20180111,"김포",33
20180126,"김포",34
20180216,"김포",26
20180319,"김포",25
20180429,"김포",46
20180705,"김포",52
20181118,"김포",26
20181121,"김포",26
20190315,"김포",27
20190329,"김포",27
20190403,"김포",46
20190404,"김포",46
20190407,"김포",46
20190416,"김포",46
20190504,"김포",17
20190602,"김포",17
20190623,"김포",18
20200323,"김포",50
20200417,"김포",50
20200627,"김포",50
20200803,"김포",62
20200816,"김포",59
20200905,"김포",55
20200926,"김포",52
20201204,"김포",50
20201223,"김포",50
20201226,"김포",50
20210126,"김포",50
20210206,"김포",50
20210408,"김포",51
20210618,"김포",51
20190720,"김포",27
20190907,"김포",58
20191003,"김포",40
20191114,"김포",24
20191120,"김포",26
20200202,"김포",50
20200304,"김포",50
20200304,"남양",59
20200321,"남양",59
20200403,"남양",59
20200410,"남양",59
20200506,"남양",59
20200701,"남양",59
20200704,"남양",59
20201208,"남양",59
20210108,"남양",59
20210126,"남양",59
20210331,"남양",59
20210428,"남양",59
20210520,"남양",59
20210616,"남양",59
20211024,"남양",59
20220111,"남양",59
20211004,"김포",50
20211012,"김포",51
20211230,"김포",60
20220106,"김포",59
20220221,"김포",60
20220313,"김포",60
20220414,"김포",59
20220528,"김포",59
20220708,"김포",60
20220711,"김포",60
20220919,"김포",61
20221029,"김포",60
20180227,"남양",17
20180404,"남양",30
20180615,"남양",29
20180925,"남양",44
20181006,"남양",74
20181015,"남양",60
20181227,"남양",45
20190121,"남양",53
20190201,"남양",55
20190309,"남양",75
20190427,"남양",55
20190725,"남양",28
20190805,"남양",52
20190926,"남양",43
20191019,"남양",54
20191119,"남양",52
20191213,"남양",59
20220220,"남양",59
20220330,"남양",59
20220625,"남양",60
20220918,"남양",59
20221104,"남양",59
20221121,"남양",59
20180112,"강릉",39
20180204,"강릉",33
20180407,"강릉",75
20180712,"강릉",68
20180722,"강릉",44
20190506,"강릉",57
20190611,"강릉",49
20190618,"강릉",71
20190706,"강릉",35
20190710,"강릉",37
20190727,"강릉",56
20191007,"강릉",92
20191030,"강릉",44
20191201,"강릉",64
20200107,"강릉",506
20200220,"강릉",506
20200316,"강릉",506
20200425,"강릉",506
20200528,"강릉",506
20200615,"강릉",506
20200724,"강릉",506
20200817,"강릉",506
20200820,"강릉",506
20200823,"강릉",506
20201017,"강릉",506
20201124,"강릉",506
20201204,"강릉",506
20210107,"강릉",506
20210116,"강릉",506
20210215,"강릉",506
20210324,"강릉",506
20210416,"강릉",506
20210426,"강릉",506
20210621,"강릉",506
20210709,"강릉",506
20210712,"강릉",506
20211007,"강릉",506
20211014,"강릉",506
20211023,"강릉",506
20211101,"강릉",506
20211125,"강릉",506
20220109,"강릉",506
20220112,"강릉",506
20220113,"강릉",506
20220317,"강릉",506
20220326,"강릉",506
20180923,"강릉",67
20180930,"강릉",58
20181112,"강릉",68
20181115,"강릉",64
20181118,"강릉",62
20181217,"강릉",49
20190124,"강릉",45
20190210,"강릉",43
20190408,"강릉",51
20220512,"강릉",505
20220514,"강릉",505
20220607,"강릉",506
20220610,"강릉",506
20220616,"강릉",506
20220622,"강릉",506
20220709,"강릉",506
20220714,"강릉",506
20221031,"강릉",506
20221213,"강릉",505
20180521,"강릉",100
20180530,"강릉",96
20180326,"고성",62
20180405,"고성",44
20180422,"고성",41
20180515,"고성",51
20180521,"고성",63
20180708,"고성",54
20180712,"고성",47
20180917,"고성",50
20181004,"고성",44
20181126,"고성",37
20181228,"고성",41
20181231,"고성",38
20190128,"고성",47
20190304,"고성",39
20190330,"고성",39
20190420,"고성",33
20190611,"고성",38
20190616,"고성",45
20190712,"고성",36
20200622,"고성",41
20200626,"고성",41
20200706,"고성",42
20201225,"고성",40
20210102,"고성",40
20210116,"고성",40
20210120,"고성",40
20210205,"고성",40
20210210,"고성",40
20210318,"고성",41
20210416,"고성",41
20210529,"고성",41
20210723,"고성",41
20210731,"고성",40
20210824,"고성",42
20211020,"고성",41
20220122,"고성",40
20220215,"고성",40
20220409,"고성",41
20220428,"고성",41
20220507,"고성",41
20220609,"고성",40
20220701,"고성",41
20220830,"고성",42
20220916,"고성",42
20220920,"고성",41
20221102,"고성",41
20221116,"고성",40
20221204,"고성",40
20180129,"인제",38
20180225,"인제",18
20190831,"고성",40
20190912,"고성",49
20191025,"고성",34
20191116,"고성",31
20191207,"고성",40
20191219,"고성",40
20200131,"고성",41
20200322,"고성",40
20200406,"고성",40
20211031,"인제",192
20211103,"인제",192
20211125,"인제",192
20211214,"인제",192
20220201,"인제",191
20220207,"인제",191
20220214,"인제",191
20220222,"인제",191
20220309,"인제",191
20220404,"인제",191
20220624,"인제",192
20220729,"인제",192
20220827,"인제",192
20221002,"인제",192
20221116,"인제",192
20221202,"인제",192
20221231,"인제",192
20180329,"인제",27
20180401,"인제",13
20180421,"인제",26
20180429,"인제",58
20180614,"인제",16
20180719,"인제",35
20180816,"인제",32
20190125,"인제",81
20190407,"인제",26
20190520,"인제",42
20190607,"인제",33
20190620,"인제",16
20190920,"인제",35
20191027,"인제",44
20191110,"인제",41
20191114,"인제",40
20191204,"인제",191
20200103,"인제",191
20200109,"인제",191
20200112,"인제",192
20200124,"인제",192
20200203,"인제",191
20200214,"인제",191
20200216,"인제",191
20200304,"인제",191
20200331,"인제",191
20200418,"인제",191
20200422,"인제",191
20200513,"인제",192
20200601,"인제",192
20200722,"인제",191
20200820,"인제",192
20201104,"인제",192
20201128,"인제",192
20201210,"인제",192
20210122,"인제",191
20210209,"인제",191
20210226,"인제",191
20210307,"인제",192
20210321,"인제",192
20210508,"인제",192
20210602,"인제",192
20210606,"인제",192
20210607,"인제",192
20210718,"인제",192
20210722,"인제",192
20210925,"인제",192
20211026,"인제",192
20180620,"군위",52
20180626,"군위",50
20180704,"군위",71
20180907,"군위",67
20181012,"군위",50
20181027,"군위",35
20181223,"군위",27
20190103,"군위",7
20190222,"군위",37
20221123,"군위",131
20221126,"군위",131
20180101,"김천",53
20180124,"김천",51
20180526,"김천",76
20180617,"김천",60
20180718,"김천",54
20180824,"김천",33
20181006,"김천",89
20181014,"김천",80
20181203,"김천",64
20190322,"김천",52
20190414,"김천",61
20190429,"김천",66
20190601,"김천",66
20190712,"김천",40
20190927,"김천",63
20191117,"김천",73
20191209,"김천",182
20191215,"김천",182
20191225,"김천",182
20200108,"김천",182
20190428,"군위",15
20190522,"군위",59
20190613,"군위",73
20190712,"군위",69
20190916,"군위",70
20191010,"군위",61
20191013,"군위",58
