일자,시군구,평년수위,현재수위,평년대비현재수위
2022-01-01,전국,5.55,5.06,109.63
2022-01-01,인천,5.14,3.24,158.73
2022-01-01,경기,5.65,5.33,105.83
2022-01-01,강원,5.7,5.69,100.3
2022-01-01,충북,5.52,5.59,98.77
2022-01-01,세종,4.9,4.62,106.07
2022-01-01,충남,4.77,4.61,103.6
2022-01-01,전북,4.6,4.4,104.47
2022-01-01,전남,4.5,3.91,115.17
2022-01-01,대구,6.22,2.47,255.67
2022-01-01,경북,7.24,6.67,108.57
2022-01-01,부산,6.08,5.56,109.37
2022-01-01,울산,6.99,5.11,136.83
2022-01-01,경남,6.57,5.76,114.07
2022-02-01,전국,5.42,5.02,108
2022-02-01,인천,5.22,3.29,158.83
2022-02-01,경기,5.42,5.1,106.47
2022-02-01,강원,5.57,5.69,98.07
2022-02-01,충북,5.41,5.45,99.4
2022-02-01,세종,4.73,4.56,103.87
2022-02-01,충남,4.72,4.55,103.77
2022-02-01,전북,4.52,4.34,104.33
2022-02-01,전남,4.41,3.87,113.9
2022-02-01,대구,6.07,2.6,233.03
2022-02-01,경북,6.82,6.83,99.83
2022-02-01,부산,5.82,5.45,106.73
2022-02-01,울산,6.98,5.03,138.8
2022-02-01,경남,6.6,5.74,115.03
2022-03-01,전국,5.34,4.95,107.8
2022-03-01,인천,6.04,3.48,173.8
2022-03-01,경기,5.45,5.15,105.97
2022-03-01,강원,5.4,5.61,96.3
2022-03-01,충북,5.4,5.31,101.73
2022-03-01,세종,4.62,4.49,102.97
2022-03-01,충남,4.74,4.48,105.77
2022-03-01,전북,4.36,4.33,100.7
2022-03-01,전남,4.38,3.71,118.1
2022-03-01,대구,5.73,4.26,134.8
2022-03-01,경북,6.7,6.95,96.4
2022-03-01,부산,5.72,5.4,105.97
2022-03-01,울산,6.95,5,139.13
2022-03-01,경남,6.21,5.4,114.97
2022-04-01,전국,5.34,4.95,107.8
2022-04-01,인천,6.04,3.48,173.8
2022-04-01,경기,5.45,5.15,105.97
2022-04-01,강원,5.4,5.61,96.3
2022-04-01,충북,5.4,5.31,101.73
2022-04-01,세종,4.62,4.49,102.97
2022-04-01,충남,4.74,4.48,105.77
2022-04-01,전북,4.36,4.33,100.7
2022-04-01,전남,4.38,3.71,118.1
2022-04-01,대구,5.73,4.26,134.8
2022-04-01,경북,6.7,6.95,96.4
2022-04-01,부산,5.72,5.4,105.97
2022-04-01,울산,6.95,5,139.13
2022-04-01,경남,6.21,5.4,114.97
2022-05-01,전국,5.3,5.09,104.13
2022-05-01,인천,6.7,4.59,146.1
2022-05-01,경기,5.34,5.13,104.2
2022-05-01,강원,5.38,5.74,93.77
2022-05-01,충북,5.33,5.53,96.3
2022-05-01,세종,4.51,4.5,100.37
2022-05-01,충남,4.72,4.68,100.77
2022-05-01,전북,4.4,4.4,100.07
2022-05-01,전남,4.31,3.87,111.47
2022-05-01,대구,6.22,4.17,149.7
2022-05-01,경북,6.63,6.94,95.5
2022-05-01,부산,5.75,5.4,106.53
2022-05-01,울산,6.94,5.01,139.03
2022-05-01,경남,6.12,5.45,112.5
2022-06-01,전국,5.34,5.15,103.5
2022-06-01,인천,7.11,3.87,186.53
2022-06-01,경기,5.24,5.18,101.2
2022-06-01,강원,5.35,5.83,91.83
2022-06-01,충북,5.22,5.45,95.9
2022-06-01,세종,4.39,4.51,97.5
2022-06-01,충남,4.73,4.87,97.03
2022-06-01,전북,4.32,4.26,101.6
2022-06-01,전남,4.35,4.01,108.47
2022-06-01,대구,6.8,3.81,178.5
2022-06-01,경북,6.78,7.1,95.4
2022-06-01,부산,5.63,5.38,104.7
2022-06-01,울산,6.88,4.71,146.2
2022-06-01,경남,6.18,5.56,111.2
2022-07-01,전국,5.19,4.93,105.2
2022-07-01,인천,6.37,3.42,186.27
2022-07-01,경기,5.17,5.08,101.93
2022-07-01,강원,5.22,5.17,101.03
2022-07-01,충북,5.13,5.07,101.27
2022-07-01,세종,4.27,4.31,99.03
2022-07-01,충남,4.7,4.57,102.93
2022-07-01,전북,4.27,4.18,102.3
2022-07-01,전남,4.14,3.98,104.07
2022-07-01,대구,6.11,3.82,160.37
2022-07-01,경북,6.66,6.91,96.53
2022-07-01,부산,5.49,5.22,105.2
2022-07-01,울산,6.83,4.71,144.93
2022-07-01,경남,5.95,5.42,109.83
2022-08-01,전국,5.21,4.87,107
